"","condition","observe","expect","z_score","log2FC","upper.p","lower.p"
"0_25000","0_25000",45999,44339.4447,16.406599575034,0.0530117956529584,8.57741441497498e-61,1
"0_26000","0_26000",46380,44736.6003,16.4669348764124,0.0520471951624348,3.1701253879052e-61,1
"0_27000","0_27000",46719,45106.2591,16.3440711292509,0.0506817535759557,2.39710602766836e-60,1
"0_28000","0_28000",47012,45452.0567,16.0057017895784,0.0486834797748217,5.8295561351831e-58,1
"0_29000","0_29000",47287,45775.9826,15.6725851381658,0.0468527622984158,1.16455095968788e-55,1
"0_30000","0_30000",47557,46080.1282,15.4691880566486,0.0455129790599042,2.80045134847435e-54,1
"0_31000","0_31000",47785,46365.564,15.0081027261619,0.0435041143317808,3.24899538452214e-51,1
"0_32000","0_32000",48025,46633.6761,14.8436842612179,0.0424134530914195,3.82199392058594e-50,1
"0_33000","0_33000",48256,46886.2657,14.7478214372725,0.0415429548658545,1.58878730929319e-49,1
"0_34000","0_34000",48492,47125.8446,14.8588713298293,0.041228282436732,3.04716405306498e-50,1
"0_35000","0_35000",48688,47352.1418,14.5957073085391,0.0401365567908963,1.49547267335318e-48,1
"0_36000","0_36000",48882,47566.6376,14.4753191745186,0.0393532666355348,8.67592045240816e-48,1
"0_37000","0_37000",49047,47768.7604,14.2179562867859,0.0380974561787332,3.54466084930218e-46,1
"0_38000","0_38000",49190,47960.4557,13.7941426088263,0.0365196883648431,1.38209867272792e-43,1
"0_39000","0_39000",49352,48141.6687,13.6562937425192,0.0358224016025071,9.25856005412087e-43,1
"0_40000","0_40000",49487,48313.7084,13.3244948986332,0.0346169923176529,8.33787837155936e-41,1
"0_41000","0_41000",49637,48476.9373,13.2201730232562,0.0341173689800681,3.3554698250893e-40,1
"0_42000","0_42000",49762,48631.6107,12.9243390470998,0.0331500953860685,1.64051995187582e-38,1
"0_43000","0_43000",49880,48778.9157,12.6954183684678,0.0322037761523704,3.13470130275472e-37,1
"0_44000","0_44000",49988,48918.7221,12.4053267222358,0.0311950895748899,1.22256668936452e-35,1
"0_45000","0_45000",50097,49052.3881,12.1910713383609,0.0304008366032159,1.73415755961912e-34,1
"0_46000","0_46000",50203,49180.3324,12.0075043734877,0.0296920925817709,1.62245048182328e-33,1
"0_47000","0_47000",50302,49302.2428,11.7809083100089,0.028962485017887,2.44812912756547e-32,1
"0_48000","0_48000",50394,49418.1491,11.579530899031,0.0282109968983012,2.61658159810352e-31,1
"0_49000","0_49000",50462,49528.5781,11.1550714800688,0.0269361832112819,3.38192196849709e-29,1
"0_50000","0_50000",50535,49633.5957,10.8357935246815,0.025965954887318,1.16468511752821e-27,1
"0_51000","0_51000",50616,49734.1519,10.6608141110369,0.0253566259174599,7.76162991716497e-27,1
"0_52000","0_52000",50693,49830.1644,10.4835001701254,0.0247672110341433,5.14323747642382e-26,1
"0_53000","0_53000",50758,49922.2111,10.2185136595528,0.0239533903960161,8.19168157801246e-25,1
"0_54000","0_54000",50832,50010.5449,10.0861253926693,0.0235046708575081,3.18158941064517e-24,1
"0_55000","0_55000",50905,50095.4675,9.99756161881123,0.0231272896613943,7.80978267657346e-24,1
"0_56000","0_56000",50962,50176.8967,9.77004082639614,0.0223986502939459,7.56955267426813e-23,1
"0_57000","0_57000",51019,50254.6841,9.56352496970449,0.0217765494441393,5.69063861390369e-22,1
"0_58000","0_58000",51075,50329.1823,9.38317886609388,0.0212221404504935,3.20065288643234e-21,1
"0_59000","0_59000",51126,50400.9446,9.15880647794084,0.0206063841984478,2.62372259241647e-20,1
"0_60000","0_60000",51171,50469.8677,8.90488541213567,0.0199041224205635,2.67206107711242e-19,1
"0_61000","0_61000",51219,50536.1266,8.69900444042873,0.0193639945390166,1.67404212754412e-18,1
"0_62000","0_62000",51255,50599.6834,8.37953497169409,0.0185643904201133,2.65686130046479e-17,1
"0_63000","0_63000",51295,50660.3793,8.15259742159267,0.017960326715539,1.78094899811491e-16,1
"0_64000","0_64000",51334,50718.9362,7.9289179997764,0.0173901951533416,1.10531723817286e-15,0.999999999999999
"0_65000","0_65000",51378,50775.2766,7.80107925337104,0.0170245376287759,3.06899736688336e-15,0.999999999999997
"0_66000","0_66000",51414,50830.3022,7.5835493135362,0.0164724498436048,1.68113831873619e-14,0.999999999999983
"0_67000","0_67000",51444,50883.8165,7.28925608293176,0.0157959401193569,1.55835573012056e-13,0.999999999999844
"0_68000","0_68000",51489,50935.4004,7.23534272383279,0.0155955645717744,2.32177492453138e-13,0.999999999999768
"0_69000","0_69000",51520,50985.2305,7.01135988393575,0.0150532085323769,1.1800638899785e-12,0.99999999999882
"0_70000","0_70000",51557,51033.5935,6.88310145937989,0.0147210867582022,2.9281642402693e-12,0.999999999997072
"0_71000","0_71000",51595,51080.5713,6.78432261827228,0.014456602191165,5.83162179864803e-12,0.999999999994168
"0_72000","0_72000",51642,51125.7564,6.82625449046414,0.0144945919331771,4.35801279379909e-12,0.999999999995642
"0_73000","0_73000",51680,51169.0936,6.77461484945403,0.0143333920946087,6.23690554986254e-12,0.999999999993763
"0_74000","0_74000",51707,51210.9436,6.5970455453224,0.0139074611344949,2.09715972365527e-11,0.999999999979028
"0_75000","0_75000",51741,51251.5766,6.53197801035205,0.0137115518489418,3.245334367885e-11,0.999999999967547
"0_76000","0_76000",51772,51290.7268,6.44037169286738,0.0134740371709825,5.95906353714768e-11,0.999999999940409
"0_77000","0_77000",51806,51328.5233,6.40692457409341,0.0133584403514877,7.42421139486811e-11,0.999999999925758
"0_78000","0_78000",51837,51365.2185,6.34492502385513,0.0131904445794078,1.11266898386229e-10,0.999999999888733
"0_79000","0_79000",51867,51400.874,6.28313760718196,0.0130240356396607,1.65903557479682e-10,0.999999999834096
"0_80000","0_80000",51898,51435.6195,6.24389065639462,0.0129111611452721,2.13409211404968e-10,0.999999999786591
"0_81000","0_81000",51926,51469.1381,6.19176819354959,0.0127494715742969,2.97465015181343e-10,0.999999999702535
"0_82000","0_82000",51942,51501.5097,5.98573210030914,0.0122868416656876,1.0770934438783e-09,0.999999998922907
"0_83000","0_83000",51964,51532.4943,5.8770221944362,0.0120300643008632,2.08856111129535e-09,0.999999997911439
"0_84000","0_84000",51982,51562.6818,5.72868627126228,0.0116848414456406,5.06056883242436e-09,0.999999994939431
"0_85000","0_85000",52007,51591.8894,5.69178729816143,0.0115615372440361,6.28582015434815e-09,0.99999999371418
"0_86000","0_86000",52023,51620.2014,5.5297714877601,0.0112138270646282,1.60324100345083e-08,0.99999998396759
"0_87000","0_87000",52039,51647.7769,5.38215977433247,0.0108869871660996,3.67986966195647e-08,0.999999963201303
"0_88000","0_88000",52054,51674.5872,5.23223389104671,0.0105540704051387,8.37368261449199e-08,0.999999916263174
"0_89000","0_89000",52074,51700.8022,5.15283220882738,0.0103765639634312,1.28290762865335e-07,0.999999871709237
"0_90000","0_90000",52088,51726.095,5.01310352277381,0.0100587625188393,2.67795310506834e-07,0.99999973220469
"0_91000","0_91000",52101,51750.8849,4.86168156687122,0.00972753133244864,5.81963760233994e-07,0.99999941803624
"0_92000","0_92000",52116,51774.9618,4.74814216334364,0.00947177461189159,1.02646859083287e-06,0.999998973531409
"0_93000","0_93000",52129,51798.3713,4.61295857857572,0.00917944886178308,1.98488718423177e-06,0.999998015112816
"0_94000","0_94000",52149,51821.4077,4.5785076077347,0.00909138207882344,2.34152567673699e-06,0.999997658474323
"0_95000","0_95000",52161,51843.8889,4.43748865611668,0.00879758699641157,4.55072584278444e-06,0.999995449274157
"0_96000","0_96000",52174,51865.5291,4.32279431510276,0.00855503183472436,7.70326770763161e-06,0.999992296732292
"0_97000","0_97000",52187,51886.5421,4.22570565700238,0.00833007732521293,1.19096586275374e-05,0.999988090341372
"0_98000","0_98000",52203,51906.7306,4.17186876850385,0.00821109699335014,1.51055813171018e-05,0.999984894418683
"0_99000","0_99000",52218,51926.3392,4.11226370368342,0.00808068288835585,1.9589920169705e-05,0.99998041007983
"0_1e+05","0_1e+05",52228,51945.381,3.98822537307815,0.0078279888044847,3.32847035444528e-05,0.999966715296456
"0_101000","0_101000",52242,51964.0209,3.92757252696129,0.0076970604356982,4.29037745973978e-05,0.999957096225403
"0_102000","0_102000",52250,51982.3579,3.78758072596253,0.00740896180039133,7.60606340453057e-05,0.999923939365955
"0_103000","0_103000",52262,52000.2923,3.71013327298059,0.00724260296950938,0.000103575084510418,0.99989642491549
"0_104000","0_104000",52277,52017.7227,3.67871783337939,0.00717311165573856,0.000117204715940072,0.99988279528406
"0_105000","0_105000",52289,52034.4583,3.61518387100524,0.00704015727632795,0.000150067261690395,0.99984993273831
"0_106000","0_106000",52298,52050.8669,3.51143348636075,0.00683358382341616,0.000222848489636917,0.999777151510363
"0_107000","0_107000",52307,52066.7427,3.41860634540007,0.0066418740670396,0.00031471358025864,0.999685286419741
"0_108000","0_108000",52316,52082.2614,3.32862227557584,0.00646014747788715,0.000436383420299491,0.9995636165797
"0_109000","0_109000",52327,52097.5401,3.27048141654209,0.00634029495945514,0.000536822981166223,0.999463177018834
"0_110000","0_110000",52334,52112.5022,3.16015291853062,0.00611900350783152,0.000788431771179339,0.999211568228821
"0_111000","0_111000",52348,52127.2731,3.15303527169709,0.00609602766989624,0.000807911408829395,0.999192088591171
"0_112000","0_112000",52359,52141.7863,3.10744925136461,0.00599753533366841,0.000943546911933459,0.999056453088067
"0_113000","0_113000",52366,52156.1176,3.00731549392925,0.00579392594746396,0.00131783033275348,0.998682169667247
"0_114000","0_114000",52372,52169.9885,2.89770256071863,0.00557558462736146,0.00187953452873045,0.99812046547127
"0_115000","0_115000",52384,52183.7574,2.87603054821446,0.00552540030124791,0.0020135536778116,0.997986446322188
"0_116000","0_116000",52391,52197.2327,2.78667847922175,0.00534567676339351,0.00266256423567883,0.997337435764321
"0_117000","0_117000",52399,52210.5423,2.71402086450384,0.00519813541611722,0.00332359897465837,0.996676401025342
"0_118000","0_118000",52403,52223.4954,2.58788408109456,0.00495038373105126,0.00482837358297253,0.995171626417027
"0_119000","0_119000",52412,52236.2548,2.53678522367163,0.00484569890531852,0.00559377834632629,0.994406221653674
"0_120000","0_120000",52418,52248.8006,2.44585840065886,0.00466438921484122,0.00722538711305936,0.992774612886941
